sport,from,suggested_to,score
nba,Boston Celtics,Boston Celtics,1.000
nba,Philadelphia 76ers,Philadelphia 76ers,1.000
nba,Atlanta Hawks,Atlanta Hawks,1.000
nba,Indiana Pacers,Indiana Pacers,1.000
nba,Toronto Raptors,Toronto Raptors,1.000
nba,Cleveland Cavaliers,Cleveland Cavaliers,1.000
nba,New York Knicks,New York Knicks,1.000
nba,Chicago Bulls,Chicago Bulls,1.000
nba,Los Angeles Lakers,Los Angeles Lakers,1.000
nba,Memphis Grizzlies,Memphis Grizzlies,1.000
nba,Utah Jazz,Utah Jazz,1.000
nba,Phoenix Suns,Phoenix Suns,1.000
nba,Denver Nuggets,Denver Nuggets,1.000
nba,Portland Trail Blazers,Portland Trail Blazers,1.000
nba,New Orleans Pelicans,New Orleans Pelicans,1.000
nba,Los Angeles Clippers,Los Angeles Lakers,0.500
